@relation pdbbindv2015-weka.filters.unsupervised.attribute.Remove-R1

@attribute	a1	numeric
@attribute	a2	numeric
@attribute	a3	numeric
@attribute	a4	numeric
@attribute	a5	numeric
@attribute	a6	numeric
@attribute	a7	numeric
@attribute	a8	numeric
@attribute	a9	numeric
@attribute	a10	numeric
@attribute	a11	numeric
@attribute	a12	numeric
@attribute	a13	numeric
@attribute	a14	numeric
@attribute	a15	numeric
@attribute	a16	numeric
@attribute	a17	numeric
@attribute	a18	numeric
@attribute	a19	numeric
@attribute	a20	numeric
@attribute	a21	numeric
@attribute	a22	numeric
@attribute	a23	numeric
@attribute	a24	numeric
@attribute	a25	numeric
@attribute	a26	numeric
@attribute	a27	numeric
@attribute	a28	numeric
@attribute	a29	numeric
@attribute	a30	numeric
@attribute	a31	numeric
@attribute	a32	numeric
@attribute	a33	numeric
@attribute	a34	numeric
@attribute	a35	numeric
@attribute	a36	numeric
@attribute	a37	numeric
@attribute	a38	numeric
@attribute	a39	numeric
@attribute	a40	numeric
@attribute	a41	numeric
@attribute	a42	numeric
@attribute	a43	numeric
@attribute	a44	numeric
@attribute	a45	numeric
@attribute	a46	numeric
@attribute	a47	numeric
@attribute	a48	numeric
@attribute	a49	numeric
@attribute	a50	numeric
@attribute	a51	numeric
@attribute	a52	numeric
@attribute	a53	numeric
@attribute	a54	numeric
@attribute	a55	numeric
@attribute	a56	numeric
@attribute	a57	numeric
@attribute	a58	numeric
@attribute	a59	numeric
@attribute	a60	numeric
@attribute	a61	numeric
@attribute	a62	numeric
@attribute	a63	numeric
@attribute	a64	numeric
@attribute	a65	numeric
@attribute	a66	numeric
@attribute	a67	numeric
@attribute	a68	numeric
@attribute	a69	numeric
@attribute	a70	numeric
@attribute	a71	numeric
@attribute	a72	numeric
@attribute	a73	numeric
@attribute	a74	numeric
@attribute	a75	numeric
@attribute	a76	numeric
@attribute	a77	numeric
@attribute	a78	numeric
@attribute	a79	numeric
@attribute	a80	numeric
@attribute	a81	numeric
@attribute	a82	numeric
@attribute	a83	numeric
@attribute	a84	numeric
@attribute	a85	numeric
@attribute	a86	numeric
@attribute	a87	numeric
@attribute	a88	numeric
@attribute	a89	numeric
@attribute	a90	numeric
@attribute	a91	numeric
@attribute	a92	numeric
@attribute	a93	numeric
@attribute	a94	numeric
@attribute	a95	numeric
@attribute	a96	numeric
@attribute	a97	numeric
@attribute	a98	numeric
@attribute	a99	numeric
@attribute	a100	numeric
@attribute	a101	numeric
@attribute	a102	numeric
@attribute	a103	numeric
@attribute	a104	numeric
@attribute	a105	numeric
@attribute	a106	numeric
@attribute	a107	numeric
@attribute	a108	numeric
@attribute	a109	numeric
@attribute	a110	numeric
@attribute	a111	numeric
@attribute	a112	numeric
@attribute	a113	numeric
@attribute	a114	numeric
@attribute	a115	numeric
@attribute	a116	numeric
@attribute	a117	numeric
@attribute	a118	numeric
@attribute	a119	numeric
@attribute	a120	numeric
@attribute	a121	numeric
@attribute	a122	numeric
@attribute	a123	numeric
@attribute	a124	numeric
@attribute	a125	numeric
@attribute	a126	numeric

@attribute energy numeric

@data
50,40,4,8,2,0,0,0,0,57,107,93,93,43,14,14,0,14,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1110,10,6,19,3.9,778.307,0,232,54,6,0,0,0,0,10,3.03,4.04,3.03,4.04,2.02,6.06,4.04,13.13,1.01,13.13,3.03,6.06,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9875.3,135,12,72,0,0,6,1,0,0,0,31,14,6,2,-8.921
27,21,2,5,0,1,0,0,0,30,57,48,48,21,9,9,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,6,4,9,-5,418.166,0,130,29,3,0,0,0,0,2,7.18,4.45,8.05,5.6,1.72,4.45,7.61,5.89,1.29,6.47,7.18,7.04,2.01,4.02,3.16,6.18,4.45,2.01,4.6,5.32,696,1,6,29140.4,496,12,24,1,2,1,0,0,0,0,36,88,303,12,-8.921
40,30,2,9,1,0,0,0,0,46,86,77,77,37,9,9,0,9,5,0,0,3,2,0,0,0,0,3,0,0,2,0,0,1,0,0,8,0,3,2,0,2,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,2,0,0,1,0,0,978,10,2,13,3.5,604.245,0,141,42,7,0,0,0,0,2,5.05,3.03,3.03,4.04,0,6.06,4.04,13.13,1.01,15.15,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9603.7,128,12,75,0,0,6,1,0,0,0,24,12,6,2,-8.921
38,25,6,3,0,0,0,0,0,36,74,67,67,29,7,7,0,7,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,715,5,5,11,4.2,470.301,0,140,34,2,0,0,0,0,4,4.23,6.84,3.58,6.84,2.61,2.61,7.82,9.12,1.63,5.86,4.23,7.17,2.28,3.91,5.21,5.54,3.91,2.93,3.91,5.54,286,4,4,13197.7,173,2,74,4,2,2,0,0,0,0,20,32,25,5,-8.914
26,14,1,7,0,2,0,0,0,24,50,45,45,19,5,5,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,428,7,4,11,0.3,382.118,1,128,24,0,0,0,0,0,1,7.02,5.08,2.66,7.26,2.18,3.63,5.81,6.05,4.6,2.18,7.02,4.84,5.57,3.87,3.63,7.02,5.57,1.21,4.36,7.75,717,4,0,27783.6,552,0,6,0,0,2,0,0,0,0,11,62,445,18,-8.9
35,25,3,6,1,0,0,0,0,37,72,63,63,28,9,9,0,9,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,745,8,3,12,2.9,505.225,0,140,35,3,0,0,0,0,2,4.04,4.04,4.04,4.04,2.02,5.05,4.04,12.12,1.01,13.13,4.04,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,7.07,396,4,0,19397.8,260,24,151,0,0,12,2,0,0,0,46,26,14,4,-8.886
18,18,3,3,0,0,0,0,0,27,45,37,37,19,8,8,0,8,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,728,4,3,4,3.7,357.088,0,90.8,25,1,0,0,0,0,28,4.58,4.25,3.59,5.23,1.96,2.61,4.9,6.54,6.54,5.23,4.58,6.54,3.27,4.9,4.9,6.21,4.58,1.31,3.27,8.5,286,1,0,14130.3,194,5,38,0,2,1,0,0,0,0,22,40,81,3,-8.886
19,12,4,3,0,0,0,0,0,21,40,37,37,18,3,3,0,3,3,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,1,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,437,5,5,3,-2.4,267.146,1,98.4,19,2,2,0,0,0,5,17.54,6.72,1.12,4.85,0,2.99,5.22,10.45,3.73,3.73,17.54,0,1.87,1.12,7.09,4.1,5.22,0.37,1.87,9.7,786,3,0,26286.5,565,105,60,0,0,3,0,0,0,0,76,83,196,12,-8.886
21,23,3,3,1,0,1,0,1,36,57,46,46,25,11,11,0,11,5,0,0,1,4,0,0,0,0,2,0,0,0,0,2,0,0,0,7,0,1,4,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,809,6,2,4,-3,473.098,0,86.9,32,1,0,0,0,0,2,4.9,5.15,3.61,5.15,6.19,3.87,10.05,9.02,2.06,3.87,4.9,7.99,1.8,4.38,3.35,5.15,7.73,1.29,3.35,5.15,286,2,8,13535.7,181,2,85,4,2,4,0,0,0,0,22,33,18,3,-8.886
19,20,4,3,2,0,0,0,0,33,52,41,41,22,11,11,0,11,4,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,767,6,2,5,-3.4,462.059,0,144,30,0,0,0,0,0,2,4.9,5.15,3.61,5.15,6.19,3.87,10.05,9.02,2.06,3.87,4.9,7.99,1.8,4.38,3.35,5.15,7.73,1.29,3.35,5.15,287,2,8,13945.8,177,2,85,4,2,4,0,0,0,0,20,31,18,3,-8.886
33,25,4,5,0,0,0,0,0,38,71,64,64,31,7,7,0,7,4,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,3,7,0,1,2,0,0,0,0,0,0,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,790,5,3,1,2.4,504.214,0,117,35,2,0,0,0,0,54,4.7,7.05,3.69,6.71,2.68,2.68,7.38,8.05,1.68,6.04,4.7,7.38,2.35,3.69,5.37,5.37,3.69,3.02,4.03,5.7,287,4,4,12596.4,180,2,77,3,2,2,0,0,0,0,21,35,29,5,-8.886
41,24,5,12,0,0,0,0,0,41,82,76,76,35,6,6,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,763,14,5,26,2.6,591.275,0,230,41,2,0,0,0,0,3,6.77,4.65,5.22,4.94,0.42,2.96,6.63,7.9,2.12,5.36,6.77,6.35,1.97,5.64,6.35,8.04,3.95,1.41,5.5,6.49,694,2,0,26523,466,48,59,1,1,2,1,0,0,0,32,73,205,12,-8.873
11,17,4,2,0,0,1,0,1,28,39,30,30,19,8,8,1,9,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,601,5,2,4,2.7,392.024,0,94.9,26,2,0,0,0,0,13,6.95,5.63,1.99,5.3,2.65,3.31,7.28,6.95,6.29,4.3,6.95,5.96,1.99,3.31,5.3,4.64,3.97,1.32,5.96,5.3,288,1,0,14224.7,197,5,47,1,1,2,0,0,0,0,23,28,88,3,-8.854
32,30,4,3,0,0,0,0,0,42,74,63,63,31,11,11,0,11,6,0,0,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,1,5,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,755,6,2,5,4.4,496.247,0,79.6,37,0,0,0,0,0,13,6.74,5.12,3.77,7.28,1.08,4.04,6.2,4.58,4.58,5.93,6.74,5.66,3.23,3.5,4.58,5.39,5.12,1.35,4.04,5.93,347,2,0,17843.8,225,2,45,1,1,3,0,0,0,0,25,43,100,3,-8.854
10,17,2,5,0,0,8,0,8,33,43,35,35,25,8,8,0,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,13,2,5,3.6,474.046,0,104,32,1,0,0,0,0,2,5.22,5.62,4.42,4.42,2.01,5.62,4.82,3.61,3.21,6.02,5.22,5.62,5.22,6.83,4.82,6.83,2.41,1.61,2.81,7.63,247,1,0,12150.5,188,0,9,0,1,1,0,0,0,0,6,27,140,5,-8.854
40,38,2,7,0,0,0,0,0,52,92,78,78,38,14,14,0,14,6,0,0,2,4,0,0,0,0,2,0,0,0,2,0,0,0,0,8,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,7,5,13,3.4,636.284,0,137,47,7,0,0,0,0,4,3.03,4.04,3.03,4.04,2.02,6.06,4.04,13.13,1.01,13.13,3.03,6.06,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,10118.5,128,12,73,0,0,6,1,0,0,0,24,13,6,2,-8.854
47,36,5,4,0,0,0,0,0,49,96,85,85,38,11,11,0,11,5,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,1,4,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,952,7,4,12,1.4,613.363,0,118,45,5,0,0,0,0,4,5.05,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,16.16,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,10079.5,129,13,74,0,0,6,1,0,0,0,22,14,6,2,-8.854
35,31,3,9,1,0,0,0,0,48,83,70,70,35,13,13,0,13,5,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,2,3,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1080,10,3,12,3.6,625.209,0,163,44,3,0,0,0,0,6,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9574.5,129,13,74,0,0,6,1,0,0,0,24,12,6,2,-8.833
24,18,0,2,0,0,0,0,0,23,47,44,44,20,3,3,0,3,4,0,0,1,3,0,0,0,0,6,0,0,0,1,2,0,0,3,10,0,1,3,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,2,2,0,2.2,272.178,0,40.5,20,5,0,0,0,0,9,5.82,7.41,2.12,7.94,1.06,3.7,5.29,7.94,3.17,3.7,5.82,3.17,2.12,2.65,8.47,7.41,5.29,2.65,0.53,6.88,175,1,1,8704.3,107,0,75,1,1,4,0,0,0,0,8,12,2,0,-8.83
35,25,3,6,1,0,0,0,0,37,72,63,63,28,9,9,0,9,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,745,8,3,12,2.9,505.225,0,140,35,3,0,0,0,0,2,5.05,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,16.16,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,5.05,198,2,0,10050.5,132,13,76,0,0,6,1,0,0,0,23,13,7,2,-8.824
17,11,1,7,0,0,0,0,0,20,37,35,35,18,2,2,0,2,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,387,8,4,4,-4.1,275.101,0,139,19,5,0,0,0,0,1,4.69,5.08,3.52,6.64,1.17,3.52,5.86,8.2,0.78,7.81,4.69,8.2,3.52,2.73,3.52,5.86,7.42,1.56,5.47,5.08,512,2,2,23731.2,336,31,58,0,4,0,0,0,0,0,29,37,152,6,-8.824
19,16,0,7,1,1,0,0,0,26,45,36,36,17,9,9,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,7,3,8,1.6,386.059,0,130,25,1,0,0,0,0,1,8.53,5.12,3.75,7.51,1.02,5.8,7.85,2.73,4.44,9.22,8.53,6.83,3.07,5.46,1.37,4.1,3.07,0.68,7.17,6.14,281,2,0,14025,214,0,0,0,0,0,0,0,0,0,7,29,170,5,-8.824
15,15,7,1,0,0,0,0,0,26,41,34,34,19,6,6,1,7,4,0,0,2,2,0,0,0,0,3,0,0,0,2,0,0,1,0,7,0,2,2,0,0,2,0,0,1,0,4,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,2,0,0,1,0,764,6,1,2,-3.4,309.134,0,96.4,23,1,0,0,0,0,3,3.64,4.3,4.3,5.96,2.65,3.64,8.28,7.28,2.65,5.3,3.64,9.6,2.32,3.97,4.97,5.3,4.64,0.99,4.3,5.96,574,7,0,28677.7,382,8,89,0,2,4,1,0,0,0,31,75,165,7,-8.824
9,14,2,3,1,0,5,0,5,26,35,26,26,17,9,9,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,9,2,4,4.1,380.025,0,97.6,25,0,0,0,0,0,2,5.02,2.7,3.86,7.34,0.39,4.25,5.02,8.49,4.63,3.47,5.02,9.27,0.39,4.63,6.56,6.95,4.63,2.7,3.09,6.56,258,1,0,11991.3,165,15,56,2,0,2,0,2,0,0,27,35,16,0,-8.824
27,21,2,5,0,1,0,0,0,30,57,48,48,21,9,9,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,6,4,10,-3.8,418.166,0,130,29,3,0,0,0,0,2,10,6.09,5.06,7.13,0.92,4.83,6.9,4.37,2.53,4.71,10,4.02,2.41,4.6,4.25,4.71,5.75,1.49,3.56,5.98,866,1,0,33599.4,633,30,128,1,3,6,0,0,0,0,63,85,299,18,-8.824
36,38,2,8,0,0,4,0,4,57,93,79,79,43,14,14,0,14,6,0,0,2,4,0,0,0,0,2,0,0,0,2,0,0,0,0,8,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,12,6,13,3.8,724.241,0,158,52,8,0,0,0,0,3,3.64,4.55,3.64,4.55,1.82,6.36,3.64,12.73,0.91,11.82,3.64,5.45,1.82,3.64,5.45,1.82,8.18,1.82,0.91,6.36,198,2,0,9867.9,129,12,72,0,0,6,1,0,0,0,26,13,6,2,-8.796
12,14,6,0,0,0,0,0,0,24,36,28,28,16,8,8,0,8,3,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,373,6,3,3,1.3,334.05,0,103,22,0,0,0,0,0,12,2.69,4.3,4.84,4.84,0.54,3.23,8.6,6.99,1.61,4.84,2.69,9.14,3.23,5.38,6.45,6.99,3.76,1.61,3.23,7.53,186,1,0,10369.7,124,29,23,0,1,2,0,0,0,0,18,18,31,0,-8.796
19,15,5,2,1,0,0,0,0,26,45,38,38,19,7,7,0,7,4,0,0,2,2,0,0,0,0,3,0,0,0,2,0,0,1,0,7,0,2,2,0,0,2,0,0,1,0,4,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,2,0,0,1,0,555,5,1,2,0.8,333.126,0,92.3,23,0,0,0,0,0,2,3.64,4.3,4.3,5.96,2.65,3.64,8.28,7.28,2.65,5.3,3.64,9.6,2.32,3.97,4.97,5.3,4.64,0.99,4.3,5.96,1125,12,0,54152.8,787,16,180,3,4,8,0,0,0,0,68,158,338,15,-8.77
34,29,0,9,0,0,0,0,0,42,76,68,68,34,8,8,0,8,5,0,0,0,5,0,0,0,0,6,0,0,0,0,3,0,0,3,11,0,0,5,0,0,0,3,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,2,0,0,3,1120,9,2,4,2.8,526.22,0,121,38,4,0,0,0,0,1,9.41,7.2,2.95,4.43,1.11,3.69,5.54,9.96,2.03,1.66,9.41,1.29,1.29,4.98,8.67,5.54,4.43,2.4,3.51,9.59,1065,6,6,37567.4,682,101,62,0,0,4,2,0,0,0,54,136,285,17,-8.77
47,40,5,6,0,0,0,0,0,55,102,87,87,40,15,15,0,15,5,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1130,8,5,15,5.1,693.353,0,153,51,4,0,0,0,0,8,3.03,4.04,3.03,4.04,2.02,6.06,4.04,13.13,1.01,13.13,3.03,6.06,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,10102,129,12,74,0,0,6,1,0,0,0,25,12,6,2,-8.77
41,34,5,7,1,0,0,0,0,51,92,78,78,37,14,14,0,14,5,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1080,10,3,15,3.6,663.273,0,165,47,4,0,0,0,0,2,3.03,4.04,3.03,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,99,1,0,6987.1,61,7,32,0,0,3,0,0,0,0,14,6,3,1,-8.77
17,14,3,5,3,0,0,0,0,27,44,35,35,18,9,9,0,9,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,688,9,2,4,0.7,403.033,0,164,25,1,0,0,0,0,1,5.02,2.7,3.86,7.34,0.39,4.25,5.02,8.49,4.63,3.47,5.02,9.27,0.39,4.63,6.56,6.95,4.63,2.7,3.09,6.56,256,1,0,11617.7,169,16,57,2,0,2,0,1,0,0,25,36,19,0,-8.77
13,18,2,3,0,0,4,0,4,29,42,34,34,21,7,7,1,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,8,2,5,3.7,416.055,0,82.4,28,1,0,0,0,0,2,5.22,5.62,4.42,4.42,2.01,5.62,4.82,3.61,3.21,6.02,5.22,5.62,5.22,6.83,4.82,6.83,2.41,1.61,2.81,7.63,247,1,0,12151.5,188,0,9,0,1,1,0,0,0,0,6,27,140,5,-8.77
9,5,3,0,0,0,0,0,0,8,17,15,15,6,2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64.7,2,2,2,-1.8,111.08,0,54.7,8,0,0,0,0,0,2,11.43,2.29,10.29,10.29,2.29,2.86,8.57,5.14,0.57,2.86,11.43,4.57,2.86,4.57,2.29,2.29,6.86,2.29,6.29,8.57,344,2,4,16441.2,235,0,131,2,4,3,0,0,0,0,27,29,37,2,-8.77
48,32,4,6,1,0,0,0,0,45,93,83,83,35,10,10,0,10,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,955,8,4,9,-3.9,616.329,0,159,43,3,0,0,0,0,9,5.05,4.04,4.04,4.04,0,5.05,4.04,13.13,1.01,13.13,5.05,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,7.07,198,2,0,9560,132,14,75,0,0,6,1,0,0,0,26,12,6,2,-8.77
18,15,4,1,0,0,0,0,0,23,41,36,36,18,5,5,0,5,4,0,0,2,2,0,0,0,0,3,0,0,0,2,0,0,1,0,7,0,2,2,0,0,2,0,0,1,0,3,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,2,0,0,1,0,366,3,2,1,1.8,270.148,0,66.7,20,2,0,0,0,0,2,3.64,4.3,4.3,5.96,2.65,3.64,8.28,7.28,2.65,5.3,3.64,9.6,2.32,3.97,4.97,5.3,4.64,0.99,4.3,5.96,573,6,0,29074.6,398,8,90,1,2,4,0,0,0,0,40,78,169,7,-8.745
12,17,4,2,0,0,0,0,0,27,39,30,30,18,8,8,1,9,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,562,4,2,4,2.6,374.034,0,94.9,25,0,0,0,0,0,13,6.95,5.63,1.99,5.3,2.65,3.31,7.28,6.95,6.29,4.3,6.95,5.96,1.99,3.31,5.3,4.64,3.97,1.32,5.96,5.3,289,1,0,14493.2,196,5,45,1,1,2,0,0,0,0,23,31,87,3,-8.745
42,36,4,6,1,0,0,0,0,50,92,76,76,34,16,16,0,16,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,8,4,15,3,658.283,0,145,47,3,0,0,0,0,4,6.17,4.37,3.86,5.4,1.54,4.11,5.66,8.74,1.8,5.91,6.17,3.86,2.06,5.14,4.88,7.71,5.91,1.8,4.88,8.74,1556,4,0,63386.8,1055,72,445,12,4,12,0,5,0,0,183,162,127,16,-8.745
9,12,2,3,1,0,9,0,9,27,36,30,30,21,6,6,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,13,2,6,1.5,432.019,0,97.6,27,0,0,0,0,0,2,5.02,2.7,3.86,7.34,0.39,4.25,5.02,8.49,4.63,3.47,5.02,9.27,0.39,4.63,6.56,6.95,4.63,2.7,3.09,6.56,257,1,0,11916.7,164,19,56,2,0,2,0,2,0,0,24,34,17,0,-8.745
47,36,5,4,0,0,0,0,0,49,96,85,85,38,11,11,0,11,5,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,1,4,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,952,7,4,12,1.4,613.363,0,118,45,5,0,0,0,0,4,6.06,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,15.15,6.06,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,5.05,198,2,0,10274,125,12,74,0,0,6,1,0,0,0,21,12,7,2,-8.742
